element1,content1,element2,content2,element3,content3,element4,content4,element5,content5,element6,content6,element7,content7,Ra/Rc,Pauling,Mulliken,Delta,Smix,Synthesis Method ,Crystal Structure
Ce,0.33,La,0.33,Pr,0.33,0,0,0,0,0,0,0,0,0.45045045,0.016656755,0.189733907,0.054473385,9.12524685,Nebulized spray pyrolysis,Fluorite
Co,0.25,Mg,0.25,Ni,0.25,Zn,0.25,0,0,0,0,0,0,0.483592401,0.240039059,0.316106548,0.105293826,11.52565132,"Nebulized spray pyrolysis, flame spray pyrolysis & reverse coprecipitation",Rock-salt
Co,0.25,Cu,0.25,Mg,0.25,Ni,0.25,0,0,0,0,0,0,0.485268631,0.254263643,0.255164416,0.110876378,11.52565132,Nebulized spray pyrolysis,Rock-salt
Co,0.25,Mg,0.25,Ni,0.25,Zn,0.25,0,0,0,0,0,0,0.483592401,0.240039059,0.316106548,0.105293826,11.52565132,Nebulized spray pyrolysis,Rock-salt
Cu,0.25,Mg,0.25,Ni,0.25,Zn,0.25,0,0,0,0,0,0,0.486111111,0.244169511,0.324794243,0.100916796,11.52565132,Nebulized spray pyrolysis,Rock-salt
Al,0.31,Cr,0.2,Fe,0.14,Ni,0.35,0,0,0,0,0,0,0.585774059,0.132356942,0.492396432,0.06713721,11.03806423,Magnetron sputtering,Rock-salt
Ce,0.25,La,0.25,Pr,0.25,Y,0.25,0,0,0,0,0,0,0.349301397,0.046029882,0.194783326,0.047478066,11.52565132,Nebulized spray pyrolysis,Fluorite
Ce,0.25,La,0.25,Pr,0.25,Sm,0.25,0,0,0,0,0,0,0.343811395,0.025495098,0.184048279,0.047643178,11.52565132,Nebulized spray pyrolysis,Fluorite
Hf,0.25,Zr,0.25,Ce,0.25,Y,0.25,0,0,0,0,0,0,0.416171225,0.0813557,0.132297026,0.065939793,11.52565132,Ball mill & spark plasma sintering,Fluorite
Hf,0.25,Zr,0.25,Ce,0.25,Y,0.25,0,0,0,0,0,0,0.416171225,0.0813557,0.132297026,0.065939793,11.52565132,Solid-state reaction &  pulsed laser epitaxy,Fluorite
Cr,0.25,Mn,0.25,Fe,0.25,Co,0.25,0,0,0,0,0,0,0.5907173,0.132098448,0.234029888,0.035125251,11.52565132,Ball mill & sintering,Spinel
Cr,0.25,Mn,0.25,Fe,0.25,Ni,0.25,0,0,0,0,0,0,0.60475162,0.140956554,0.28174728,0.035688883,11.52565132,Ball mill & sintering,Spinel
Mg,0.2,Co,0.2,Cu,0.2,Ni,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Ball mill & sintering,Rock-salt
Mg,0.2,Ni,0.2,Co,0.2,Cu,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Ball mill,Rock-salt
Co,0.2,Cu,0.2,Mg,0.2,Ni,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,"Nebulized spray pyrolysis, flame spray pyrolysis & reverse coprecipitation",Rock-salt
Mg,0.2,Co,0.2,Ni,0.2,Cu,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Co-precipitation & hydrothermal synthesis,Rock-salt
Co,0.2,Cu,0.2,Mg,0.2,Ni,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Nebulized spray pyrolysis,Rock-salt
Mg,0.2,Ni,0.2,Cu,0.2,Co,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Pulsed laser epitaxy,Rock-salt
Co,0.2,Cu,0.2,Mg,0.2,Ni,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Ball mill & sintering,Rock-salt
Mg,0.2,Co,0.2,Ni,0.2,Cu,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Ball mill & pressing,Rock-salt
Mg,0.2,Co,0.2,Ni,0.2,Cu,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Solid-state reaction & pressing,Rock-salt
Co,0.2,Cu,0.2,Mg,0.2,Ni,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Solution combustion,Rock-salt
Co,0.2,Cu,0.2,Mg,0.2,Ni,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Nebulized spray pyrolysis,Rock-salt
Mg,0.2,Co,0.2,Ni,0.2,Cu,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Solid-state reaction,Rock-salt
Co,0.2,Cu,0.2,Mg,0.2,Ni,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Ball mill & sintering,Rock-salt
Ni,0.2,Mg,0.2,Cu,0.2,Zn,0.2,Co,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Ball mill,Rock-salt
Co,0.2,Cu,0.2,Mg,0.2,Ni,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Ball mill & sintering,Rock-salt
Mg,0.2,Co,0.2,Ni,0.2,Cu,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Ball mill & sintering,Rock-salt
Mg,0.2,Co,0.2,Cu,0.2,Ni,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Flash-assisted synthesis,Rock-salt
Mg,0.2,Ni,0.2,Co,0.2,Cu,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Reaction-assisted flash sintering,Rock-salt
Mg,0.2,Ni,0.2,Co,0.2,Cu,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Polymeric synthesis,Rock-salt
Mg,0.2,Co,0.2,Ni,0.2,Cu,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Solid-state reaction,Rock-salt
Mg,0.2,Co,0.2,Ni,0.2,Cu,0.2,Zn,0.2,0,0,0,0,0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,Solid-state reaction,Rock-salt
